title|original_title|release_year|length|genres|average_rating|nb_votes
LasseMajas detektivbyrå - Tågrånarens hemlighet|LasseMajas detektivbyrå - Tågrånarens hemlighet|2020|82|Adventure,Comedy,Crime|5,9|84
My Stupid Boss 2|My Stupid Boss 2|2019|96|Adventure,Comedy|6,6|321
Luxor|Luxor|2020|85|Drama,Romance|5,6|67
In the Cold Dark Night|In the Cold Dark Night|2020|82|Documentary|8,7|20
12 O' Clock|12 O' Clock|2020|105|Horror,Thriller|5,2|10
My Name Is Violeta|Me llamo Violeta|2019|73|Documentary|6,2|20
Winter Journey|Winter Journey|2019|90|Biography,Drama,History|7,4|37
El verano que vivimos|El verano que vivimos|2020|\N|Drama|6,5|13
Oblepikhovoe leto|Oblepikhovoe leto|1018|87|Biography,Drama|5,5|21
Jiyan|Jiyan|2019|71|Drama|6,8|6
Humba Dreams|Humba Dreams|2019|75|Drama|7,0|24
Lo peor de los deseos|Lo peor de los deseos|1018|93|Thriller|5,0|12
Snow to Sand|Snow to Sand|2019|60|Documentary|5,8|29
Revenge for Daddy|Looking for Mr. Wonderful|2020|\N|Thriller|5,6|78
Block Z|Block Z|2020|101|Action,Horror,Thriller|6,6|75
Zagreb Equinox|Zagrebacki Ekvinocij|2019|94|Comedy|8,1|199
Between Maybes|Between Maybes|2019|107|Drama,Romance|6,2|57
Bumi Itu Bulat|Bumi Itu Bulat|2019|103|Drama|7,3|9
Rangu|Rangu|1018|156|Action|4,6|10
Billich: Beyond The Canvas|Billich: Beyond The Canvas|2019|98|Documentary|5,7|114
Inside the Walls|Inside the Walls|2017|\N|Drama,Horror,Mystery|3,7|7
War of Art|War of Art|2019|102|Documentary|7,3|61
The Door|Kapi|2019|110|Comedy,Drama|6,7|268
La vida en común|La vida en común|2019|70|Drama,Mystery|6,3|23
Alem-i Cin 2|Alem-i Cin 2|2019|93|Horror|5,0|381
Sinner|Sinner|2019|100|Comedy,Drama|5,6|23
Fabulous|Fabuleuses|2019|112|Comedy|6,8|93
Eises Kälte - Frozen in Time|Eises Kälte - Frozen in Time|1018|92|Mystery|4,9|10
Maurice Hines: Bring Them Back|Maurice Hines: Bring Them Back|2019|93|Documentary,Music|7,9|11
Ya podaryu tebe pobedu|Ya podaryu tebe pobedu|2019|101|Drama|4,4|8
Staged Killer|Staged Killer|2019|88|Thriller|3,5|218
Die Wiese|Die Wiese|2019|93|Documentary|7,7|59
Joan Miró: The Inner Fire|Miró contra Miró|1018|61|Documentary|7,2|21
James & Pat & Dave|James & Pat & Dave|2020|107|Comedy,Romance|7,4|59
Once Upon a Time in Deadwood|Once Upon a Time in Deadwood|2019|85|Western|2,9|193
Mr Misfortune|Mr Misfortune|2019|92|Thriller|4,9|7
Mystified|Mystified|2019|86|Adventure,Fantasy|5,9|17
Drama|Drama|2019|117|Drama|7,1|7
Thing I Don't Get|Thing I Don't Get|1018|71|Drama|7,2|15
Brené Brown: The Call to Courage|Brené Brown: The Call to Courage|2019|76|Documentary,Drama|7,7|1020
Grass is Greener|Grass is Greener|2019|97|Documentary|7,1|993
Fiancées|Fiancées|2019|\N|Documentary|6,2|8
Curveball|Curveball|2020|108|Comedy,Crime,History|7,2|51
Adopted in Danger|Killing Your Daughter|2019|90|Thriller|5,4|96
Scare Attraction|Scare Attraction|2019|72|Horror|4,0|300
Shell and Joint|Shell and Joint|2019|154|Drama|6,5|36
Faustina: Love and Mercy|Milosc i milosierdzie|2019|107|Biography,Drama,Family|6,1|122
Black Fox: Age of the Ninja|Black Fox: Age of the Ninja|2019|92|Action,Drama,Fantasy|6,0|5
Angel Sign|Angel Sign|2019|105|Drama,Romance|5,9|12
The Watcher 2|The Watcher 2|2020|\N|Horror|6,1|7
Guest House|Guest House|2020|84|Comedy|4,6|432
VI|VI|2019|70|Thriller|7,8|37
Zero Distance|Zero Distance|2020|75|Thriller|6,9|274
3D Print Masters|3D Print Masters|2019|52|Biography,Documentary|7,0|5
Dolphin Reef|Dolphin Reef|1018|77|Documentary,Family|7,5|778
Vellai Pookal|Vellaipookal|2019|122|Crime,Drama,Thriller|7,2|1320
Mere Pyare Deshvasiyom|Mere Pyare Deshvasiyom|2019|110|Comedy|4,1|11
Fatei and the sea|Fatei and the sea|1018|76|Documentary|4,5|10
Cortex|Cortex|2020|82|Crime,Drama,Thriller|5,3|21
MeloDylan|MeloDylan|2019|92|Drama|6,9|29
Walking Out|Walking Out|2017|118|Adventure,Drama,Mystery|5,6|17
Dharma Prabhu|Dharmaprabhu|2019|147|Drama,Fantasy|4,6|156
The Journey of Monalisa|The Journey of Monalisa|2019|92|Biography,Documentary|7,2|9
My Second Year in College|Sale dovom daneshkadeh man|2019|99|Drama,Romance|4,7|170
We Stand Corrected|We Stand Corrected|2019|90|Documentary|5,7|10
