Year,Incident cost,Description,Animal group,Property type,Property category,Service type,"Ward code
",Ward,Borough Code,Borough,Station,Postcode,Latitude,Longitude
2009,255,"DOG TRAPPED IN WATER,J15",Dog,River/canal,Outdoor,Animal rescue from water,E05000474,Wimbledon Park,E09000024,Merton,Wimbledon,SW19,51.43199153,-0.19047348
2009,255,"DOG IN PRECARIOUS POSITIION,B2",Dog,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,Animal rescue from height,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,Whitechapel,E1,NULL,NULL
2009,255,"DOG TRAPPED IN STREAM, B15",Dog,Canal/riverbank vegetation,Outdoor,Animal rescue from water,E05000447,Lee Green,E09000023,Lewisham,Lee Green,SE13,51.45843297,-0.002884196
2009,510,"ASSIST RSPCA WITH CAT IN TREE, B15",Cat,Tree scrub,Outdoor,Animal rescue from water,E05000485,Green Street East,E09000025,Newham,East Ham,E6,51.53743364,0.043645966
2009,255,"DOG TRAPPED DOWN HOLE,B15",Dog,Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,E05009388,Abingdon,E09000020,Kensington and Chelsea,Kensington,W8,51.49684467,-0.20084439
2009,255,"DOG STUCK ON WINDOWSILL OUTSIDE,B15",Dog,House - single occupancy,Dwelling,Animal rescue from height,E05000331,Heathrow Villages,E09000017,Hillingdon,Hayes,UB3,NULL,NULL
2009,255,"CAT TRAPPED IN BOARDED UP HOUSE,B15",Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Other animal assistance,E05011108,Nunhead & Queen's Road,E09000028,Southwark,New Cross,SE15,NULL,NULL
2009,255,"CAT STUCK IN BASEMENT AREA OF SHOP ,B15",Cat,Other outdoor structures,Outdoor Structure,Other animal assistance,E05000112,Clock House,E09000006,Bromley,Beckenham,BR3,51.40562868,-0.056501617
2009,510,"CAT TRAPPED UNDER BONNET OF CAR,B15",Cat,Car,Road Vehicle,Other animal assistance,E05000497,Bridge,E09000026,Redbridge,Woodford,IG8,51.60133166,0.043365143
2009,765,"HORSE STUCK IN MUD IN FIELD,B17",Horse,Other outdoor location,Outdoor,Other animal assistance,E05000030,Eastbrook,E09000002,Barking and Dagenham,Dagenham,RM7,51.55435513,0.182630569
2009,255,"CAT STUCK IN TREE,B0",Cat,"Nurseries, market garden ",Outdoor,Animal rescue from height,E05000503,Fairlop,E09000026,Redbridge,Hainault,IG6,51.60428185,0.097883827
2009,255,"CAT STUCK ON ROOF,B15",Cat,House - single occupancy,Dwelling,Animal rescue from height,E05000477,Canning Town North,E09000025,Newham,Plaistow,E13,NULL,NULL
2009,510,"BIRD TRAPPED IN GUTTERING,B15",Bird,Other retail,Non Residential,Animal rescue from height,E05000418,Clapham Common,E09000022,Lambeth,Clapham,SW4,51.45248937,-0.141230246
