Petition,URL,State,Signatures Count
To investigate into the Rohingya Muslim crisis in Burma and send immediate aid.,https://petition.parliament.uk/archived/petitions/200338,rejected,8
Political Education to be put on the National Curriculum.,https://petition.parliament.uk/archived/petitions/200339,closed,939
Bring back the nit nurse!,https://petition.parliament.uk/archived/petitions/200340,closed,115
Full Public Inquiry into failure to protect children from sexual grooming,https://petition.parliament.uk/archived/petitions/200344,rejected,11
Make primary schools allow kids toilet breaks during class time,https://petition.parliament.uk/archived/petitions/200345,closed,72
Introduce new legislation - Email providers to provide better spam filters,https://petition.parliament.uk/archived/petitions/200348,rejected,6
To get life Saving EpiPens in and around Public places.,https://petition.parliament.uk/archived/petitions/200349,rejected,21
Give the blood bike community section 19 exemptions for blue light runs,https://petition.parliament.uk/archived/petitions/200350,closed,1708
Equalise survivor benefits for widows & widowers in the Teachers Pension Scheme.,https://petition.parliament.uk/archived/petitions/200352,closed,213
Prevent the current changes to pharmacy regulations being debated by the DoH,https://petition.parliament.uk/archived/petitions/200355,closed,12
Make Coal Callers to all emergency services a criminal offence,https://petition.parliament.uk/archived/petitions/200356,rejected,6
"Put aspects of gardening onto the Primary curriculum, teaching its benefits.",https://petition.parliament.uk/archived/petitions/200358,closed,34
Make photo ID mandatory in all elections and Referenda.,https://petition.parliament.uk/archived/petitions/200360,closed,503
Zero hours contracts should be abolished.,https://petition.parliament.uk/archived/petitions/200362,closed,413
Theresa May to publicly condemn the government of Myanmar/Burma,https://petition.parliament.uk/archived/petitions/200363,closed,339
Lower the cervical smear test age to 18!,https://petition.parliament.uk/archived/petitions/200368,closed,386
"Outlaw vigilante ""paedophile hunting""",https://petition.parliament.uk/archived/petitions/200370,rejected,6
Stop The Genocide In Myanmar - UK Government Please Help!,https://petition.parliament.uk/archived/petitions/200371,closed,1451
Make it illegal for any UK politician to lie or mislead the public.,https://petition.parliament.uk/archived/petitions/200372,closed,14771
Stop funding political parties that dont take their seats in Parliament.,https://petition.parliament.uk/archived/petitions/200373,closed,55
Bring Royal Mail back into public ownership,https://petition.parliament.uk/archived/petitions/200376,closed,8189
Equal rights for contribution and income based ESA,https://petition.parliament.uk/archived/petitions/200377,rejected,6
