biz_type,name,postcode,rating_date,rating_key,rating_value
Restaurant/Cafe/Canteen,Bob's Brunch Ltd,CF24 4HQ,2019-10-29,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bombay Grill & Piri Pronto Restaurant,CF24 3DL,2020-08-17,fhrs_5_en-GB,5
Takeaway/sandwich shop,Bombay Mix,CF14 2AA,2019-05-25,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Bombers Sandwich House,CF10 2GB,2018-02-22,fhrs_2_en-GB,2
Takeaway/sandwich shop,Bon Cafe,CF14 0LW,2019-04-15,fhrs_5_en-GB,5
Distributors/Transporters,Booker Cash & Carry,CF14 3AX,2018-05-31,fhrs_4_en-GB,4
Distributors/Transporters,Booker Cash & Carry,CF11 8AQ,2019-10-04,fhrs_5_en-GB,5
Retailers - other,Boots UK,CF10 1FS,2019-06-28,fhrs_5_en-GB,5
Retailers - other,Boots UK Ltd,CF14 4WZ,2018-10-25,fhrs_5_en-GB,5
Retailers - other,Boots UK Ltd,CF10 2RG,2010-10-04,fhrs_5_en-GB,5
Retailers - other,Booze Stop / Sobi Stores,CF14 2FF,2018-10-24,fhrs_3_en-GB,3
Pub/bar/nightclub,Borough Arms,CF10 1AT,2017-05-30,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Botanic Kitchen Wyevale,CF3 2WJ,2017-07-04,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Boulders Climbing Centre,CF24 2RZ,2019-11-27,fhrs_1_en-GB,1
Restaurant/Cafe/Canteen,Boullies,CF10 4PJ,2019-06-26,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Boundary Art,CF10 5SF,2015-08-26,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bowles & Sons at No.23,CF10 1PT,2017-12-04,fhrs_5_en-GB,5
Manufacturers/packers,Brand Hatchers,CF3 0EY,2019-10-21,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bread and Salt ltd,CF11 9AH,2019-03-20,fhrs_4_en-GB,4
Retailers - other,Bread Stall,CF10 1AU,2018-08-21,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Breatos,CF10 3QN,2019-09-09,fhrs_5_en-GB,5
Pub/bar/nightclub,Brew Monster,CF10 1PU,2020-02-18,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Brewdog,CF10 1EH,2019-05-28,fhrs_4_en-GB,4
Pub/bar/nightclub,Brewhouse and Kitchen,CF11 9HW,2020-02-24,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,Bright Buttons Afterschool,CF23 7JB,2016-09-12,fhrs_5_en-GB,5
Other catering premises,Bright Crumb,CF23 7JB,2013-06-13,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Brightside Manor Residential Care Home,CF3 4FB,2020-02-11,fhrs_3_en-GB,3
Mobile caterer,Britain's Finest/food On The Move,CF11 8PD,2018-06-06,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Broadway Cafe,CF24 1NF,2019-05-15,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Brodies Coffee Cabin,CF24 1NF,2020-02-01,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bronwen Watkins,CF15 8LE,2018-11-06,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Brook Bistro,CF14 1DJ,2018-06-14,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Brooks Ty Coffi Ltd,CF5 1JN,2018-03-20,fhrs_4_en-GB,4
Other catering premises,Brother Thai,CF5 1JN,2018-03-27,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bru Coffee,CF10 2EH,2018-07-06,fhrs_5_en-GB,5
Manufacturers/packers,Brutons The Bakers,CF11 6RX,2018-11-14,fhrs_5_en-GB,5
